instance_id,group,n,k,d,d_ub_known,seconds,cost_step,status,A_poly,B_poly
556107b3a9e51da5,Z6xZ14,168,4,6,28,0.04,1,ok,y^2 + x + x^2,1 + x^2*y^9 + x^4
57c739824af06531,Z7xZ12,168,4,14,20,16.73,1,ok,y^4 + y^5 + x,x*y^10 + x^2 + x^4*y^2
59369e37bc8f70f2,Z6xZ14,168,4,4,28,0.03,1,ok,y + x + x^2,1 + x^4*y^6 + x^5*y^6
5a3036fc40ebc680,Z6xZ14,168,4,12,28,3.19,1,ok,y + x + x^2,y^9 + x*y^4 + x^2*y^13
5dc88b4c9d1e008c,Z7xZ12,168,4,14,28,19.11,1,ok,y^11 + x*y + x^2,1 + x^3*y^5 + x^5*y^7
5ee2e2dc96b26a32,Z7xZ12,168,4,14,28,35.65,1,ok,y^5 + x*y + x^2,x*y^6 + x^2*y^4 + x^5*y^2
63a9d6e95b33433b,Z6xZ14,168,4,12,24,3.45,1,ok,y^2 + x + x^2,x*y^7 + x^2*y^6 + x^3*y^4
67d960f8286d71fb,Z7xZ12,168,4,12,38,3.11,1,ok,y + y^2 + x,y^5 + y^6 + x^2*y^7
6b31fa1341b2837f,Z6xZ14,168,4,16,28,407.32,1,ok,y + x + x^2,y^12 + x*y^9 + x^2*y^8
6ee11b3558f4de9a,Z6xZ14,168,4,10,18,0.85,1,ok,y^9 + x*y + x^2,x*y^12 + x^2*y^7 + x^3*y^3
729396f954d6afae,Z7xZ12,168,4,14,34,18.12,1,ok,y^4 + y^5 + x,y^11 + x*y + x^2
75d7706114ed7c69,Z6xZ14,168,4,12,20,5.09,1,ok,y^9 + x*y + x^2,x*y^6 + x^3*y^9 + x^5*y^7
7b6fa8a021cf87fd,Z6xZ14,168,4,16,24,632.0,1,ok,y + x + x^2,x*y^9 + x^3*y^12 + x^5*y^7
7e10554a3b93b5a3,Z7xZ12,168,4,4,30,0.03,1,ok,1 + y^2 + y^4,x + x^2*y^11 + x^3*y
7f57efd7f3077243,Z6xZ14,168,4,16,22,689.28,1,ok,1 + x*y + x^2,y^7 + x*y^2 + x^2*y^6
349665e8b39d8b12,Z7xZ12,168,6,12,30,6.22,1,ok,y^2 + x*y + x^3,x^2*y^10 + x^3*y^8 + x^5*y
3ed2c8d9b48db805,Z7xZ12,168,6,8,32,0.42,1,ok,y^4 + x*y + x^3,y^9 + x*y^3 + x^3*y^8
432075a2f7e004b4,Z6xZ14,168,6,8,18,0.43,1,ok,1 + y + y^3,1 + x*y^2 + x^4*y^13
4bcc2e1a3e39ea5a,Z7xZ12,168,6,14,32,33.24,1,ok,y + x + x^3,y^7 + x*y^10 + x^3*y^3
52a3752dc3d65205,Z7xZ12,168,6,6,26,0.06,1,ok,y + x + x^3,x*y^8 + x^2*y^7 + x^4*y^11
5840c3eb088f45df,Z7xZ12,168,6,4,36,0.07,1,ok,1 + x + x^3,y + x^2*y^5 + x^6*y^4
